trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2006,False,"{'a': 0.5, 'e': 0.16440867995072636}",25,0,-4.033844581000366,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
2007,False,"{'a': 0.5, 'e': 0.1642607787043149}",20,0,-27.584104139458816,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2008,False,"{'a': 0.5, 'e': 0.1641130105091432}",20,0,-55.35680734031747,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
2009,False,"{'a': 0.5, 'e': 0.163965375245519}",30,10,-17.932199687330275,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
2010,False,"{'a': 0.5, 'e': 0.16381787279385768}",30,0,-19.44334740950003,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
2011,False,"{'a': 0.5, 'e': 0.16367050303468234}",20,6,9.731592293315565,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2012,False,"{'a': 0.5, 'e': 0.1635232658486233}",25,8,31.33679097772644,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2013,False,"{'a': 0.5, 'e': 0.16337616111641864}",25,20,7.559712597284987,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2014,False,"{'a': 0.5, 'e': 0.16322918871891337}",25,13,-2.3155546405504213,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
2015,False,"{'a': 0.5, 'e': 0.1630823485370599}",20,0,-77.32986204787572,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
2016,False,"{'a': 0.5, 'e': 0.16293564045191763}",20,0,2.143669699695165,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2017,False,"{'a': 0.5, 'e': 0.16278906434465307}",25,9,16.9662400210473,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
2018,False,"{'a': 0.5, 'e': 0.16264262009653951}",20,12,12.919132823872209,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2019,False,"{'a': 0.5, 'e': 0.16249630758895714}",20,10,20.312390522845998,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2020,False,"{'a': 0.5, 'e': 0.16235012670339277}",25,0,35.461815600587606,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2021,False,"{'a': 0.5, 'e': 0.16220407732143996}",30,21,3.066193784042868,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
